Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.003152583377,1.278290804,0.759167397,0.4569283283,1.555360413
0.01316558337,1.583881789,0.3206560439,-0.134901697,1.621635066
0.02317858336,1.36161889,-0.04813310981,-0.802509883,1.581247896
0.03319258336,0.9053846258,0.02821866274,-1.070178459,1.402069737
0.04320558335,0.5217324346,0.2299791777,-1.195980719,1.324939635
0.05321958335,0.3706324884,0.389757269,-1.022793792,1.155589162
0.06323258334,0.509065319,0.7050362134,-0.4226168668,0.9668653357
0.07324558333,0.5860994616,0.9162738955,0.3308845782,1.136905904
0.08325958333,0.1977057633,0.7148402399,0.8866191566,1.155931515
0.09327258344,-0.4962567008,0.09237255871,0.9720054621,1.095261622
0.1032855834,-1.049347168,-0.4488153166,0.6320828426,1.304643012
0.1132995834,-1.600552786,-0.7571319813,0.2771732247,1.792161559
0.1233125834,-2.088608182,-0.8537461102,0.160864504,2.262088404
0.1333265834,-2.234039545,-0.8200018287,0.391170541,2.411711027
0.1433395834,-1.859055266,-0.8492811763,1.046201951,2.296062613
0.1533525834,-1.14794438,-0.8555365276,1.720395856,2.238186979
0.1633665834,-0.4382140222,-0.8435602605,2.363180857,2.547204194
0.1733795834,-0.1045116708,-1.010001839,2.653769349,2.8413937
0.1833925834,0.1686968493,-1.000488419,2.847957135,3.02329217
0.1934065834,0.4184000011,-0.8422990161,3.008538634,3.152115306
0.2034195834,0.07061813906,-0.9587451464,2.161639028,2.365768895
0.2134325834,-0.5241834413,-1.208797815,1.371609442,1.901912958
0.2234465834,-1.189420143,-1.514742849,1.546706069,2.47011454
0.2334595834,-1.538469243,-1.628301625,1.399462069,2.641353417
0.2434735834,-2.042106737,-1.56199186,0.6662604028,2.655921954
0.2534865834,-1.660204764,-1.210822706,0.04045513093,2.055239184
0.2634995834,-0.9471982111,-1.13019428,0.2057822299,1.488915675
0.2735135833,0.1902420849,-1.332309721,0.9770650578,1.663098726
0.2835265833,1.048485727,-1.617473751,2.036023879,2.803736238
0.2935395833,1.612510926,-1.752168456,3.055216371,3.8735814
0.3035535833,2.223159923,-1.865053632,3.428094483,4.491402551
0.3135665834,1.998630204,-1.920957107,3.583646207,4.530686376
0.3235805834,2.106441605,-1.65254535,3.38837844,4.318461627
0.3335935834,1.922071732,-1.157835823,3.024136081,3.765679564
0.3436065834,1.511868651,-0.6216321141,2.41359672,2.915068169
0.3536205834,0.9073982607,-0.07199033439,1.502880603,1.757044199
0.3636335834,0.6433537893,0.163424415,0.6951877481,0.961195944
0.3736465834,0.2272359565,0.6730700701,-0.01836025715,0.7106311267
0.3836605834,-0.0471334552,1.104199898,-0.4546941072,1.195083976
0.3936735834,0.1634779901,0.6733735406,-0.5641767883,0.8935616526
0.4036865834,0.2170061796,0.2623435163,-0.1862174463,0.388062804
0.4137005834,0.6934969526,0.1975411642,0.02580142379,0.7215443495
0.4237135834,1.02337961,0.08237615883,0.09708424509,1.03126961
0.4337275834,1.487160218,-0.1738266116,0.3241509247,1.531970961
0.4437405834,1.064149614,-0.1081693965,0.1548828024,1.080788463
0.4537535834,0.4364293058,-0.05489132166,-0.4289616805,0.6144035478
0.4637675834,0.4335936986,0.2114838499,-1.319727682,1.405137029
0.4737805834,0.3087493587,0.4636239749,-1.868454958,1.949717232
0.4837935833,0.1671184666,0.3896297997,-2.385086281,2.422473226
0.4938075833,-0.270623393,0.1731343013,-2.835527124,2.853668968
0.5038205833,-0.4827747756,-0.009032194018,-3.260286995,3.295849565
0.5138335833,-0.1052780946,-0.1074466807,-3.156595981,3.160178231
0.5238475833,0.6564487018,-0.09413783312,-2.248447376,2.344206142
0.5338605834,0.8483823131,-0.3658848417,-1.263202064,1.56502515
0.5438745834,0.5004111475,-0.7088667244,-0.6806854838,1.102830938
0.5538875834,0.6493676506,-0.408140915,-0.3463995802,0.8415759154
0.5639005834,1.012907466,-0.022846241,-0.1165168816,1.019842963
0.5739145834,1.018404872,0.344522624,-0.5856255448,1.224255529
0.5839275834,1.436662786,-0.0008788365126,-1.014489577,1.758746666
0.5939405834,1.370299666,-0.3940160885,-0.4716364145,1.501802504
0.6039545834,1.214183247,-0.3650963446,0.2856470096,1.299665539
0.6139675834,1.461651155,-0.4430990785,0.4995393276,1.606953774
0.6239805834,1.060616799,-0.4643858671,1.03459172,1.55272092
0.6339945834,0.1220657796,-0.7050110704,0.5495032007,0.9021609787
0.6440075834,-0.930320954,-0.6601743284,0.06521399617,1.142619835
0.6540215834,-1.675444362,-0.5895861563,0.1765098989,1.784903748
0.6640345834,-2.161597513,-0.4360140073,0.5552574456,2.273966326
0.6740475834,-1.77245654,-0.4905574197,0.8972049558,2.046271121
0.6840615834,-0.2328764365,-0.4753558284,-2.195405529,2.258317966
0.6940745834,1.186093443,0.1145568949,-1.473493667,1.895026259
0.7040875833,1.894417911,-0.07345272303,0.0602093643,1.896797219
0.7141015833,1.291934989,-0.1092938161,0.2152114499,1.314289589
0.7241145833,-0.7449534736,-0.6777560288,0.4742547977,1.113205518
0.7341288751,-0.2979452025,-1.30197115,0.6022912788,1.465146752
0.7441418751,1.96630051,-0.4608269593,0.6353245389,2.117152912
0.7541548751,1.840699394,-0.2685778177,0.347021724,1.892282321
0.7641688751,1.196616603,-1.078173064,-1.036088022,1.915157132
0.7741818751,0.9318441537,-0.8717496872,-2.464724774,2.775454783
0.784194875,-0.05653884776,-0.123196156,-3.277695326,3.280497002
0.794208875,-0.09644912783,0.1055884355,-2.511625291,2.515693334
0.804221875,1.093318742,0.786831159,-0.2971870744,1.37940904
0.814234875,0.6796622211,-0.06429656804,1.80675046,1.931430043
0.824248875,-0.3424721517,-1.092853376,2.33864711,2.604013437
0.834261875,-0.4750368628,-2.011245718,2.404305494,3.170402856
0.844275875,-0.05633631483,-2.952921672,1.899731714,3.511680619
0.854288875,0.3241373299,-2.91390788,0.7762833667,3.032909496
0.864301875,0.4046552436,-1.587745045,0.2451749218,1.656741058
0.874315875,-0.2963493146,0.4140046491,0.6138447922,0.7975137583
0.8843288751,-0.9922662105,2.783410306,2.143914363,3.650799085
0.8943418751,-1.568836319,4.898401125,3.253795416,6.086276825
0.9043558751,-1.311440131,5.465484856,3.465247107,6.602979437
0.9143688751,0.04350094557,3.183976738,4.00323714,5.115223142
0.9243818751,0.3213490851,1.425820733,2.79028897,3.149911512
0.9343958751,1.057152689,0.4644006313,3.213356073,3.414512704
0.9444088751,1.293315809,-0.261254107,3.39517232,3.642542323
0.9544228751,1.76897964,0.2202737499,3.04179058,3.525662976
0.9644358751,3.750799099,0.8082183735,2.801897448,4.75103569
0.9744488751,4.974871303,0.7163794463,2.259744782,5.510806699
0.9844628751,4.226386477,-0.3235312295,1.596753557,4.529529449
0.994475875,4.67852155,-2.022755523,0.6478036666,5.138069034
1.004488875,2.75275277,-4.576199077,-0.4175140017,5.356637354
1.014502875,0.3385233808,-5.951965597,0.7161318898,6.004443141
1.024515875,-0.02669670559,-5.32575102,2.359509391,5.825085511
1.034529875,-1.264391242,-4.784623956,4.190569065,6.484765277
1.044542875,-1.367496511,-5.620520271,2.913937701,6.476984464
1.054555875,-0.8242547279,-6.276987172,1.513034878,6.509165719
1.064569875,-1.135182101,-5.311560997,3.937324986,6.708490641
1.074582875,-1.242130453,-4.374756651,4.675040118,6.522068991
1.084595875,-1.018828649,-3.144418277,4.514798343,5.595425113
1.094609875,-0.5593897825,-1.985870118,5.889602119,6.240513614
1.104622875,0.03105288126,-0.7237205525,6.104632305,6.147460557
1.114635875,0.9113310979,0.4597355765,5.723632995,5.813936346
1.124649875,1.585808739,0.6803597939,4.307314573,4.640111813
1.134662875,2.013900354,-0.2105240294,1.664425723,2.621150127
1.144676875,2.096746483,-1.751276756,-0.7082451653,2.822220279
1.154689875,2.56638505,-3.460576351,-2.728017878,5.099411971
1.164702875,3.457134972,-4.405341974,-3.877257124,6.811163111
1.174716875,3.176708064,-4.222121518,-4.15493204,6.721699524
1.184729875,1.923957606,-3.570613348,-4.097218267,5.765248484
1.194742875,-2.63800701,-2.466999633,-3.046585296,4.725129643
1.204756875,-3.031585434,-0.9613243532,-4.467998983,5.48431123
1.214769875,-4.664931452,0.8950993735,-6.168481561,7.785432108
1.224782875,-5.8615846,4.018495449,-6.307296215,9.502024271
1.234796875,-6.817019053,7.5553651,-8.010429336,12.95076325
1.244809875,-7.379448693,11.54582666,-9.544197271,16.69892445
1.254823875,-8.25578903,15.68286037,-10.79766957,20.75330889
1.264836875,-9.60892127,20.56280271,-10.12789674,24.85426555
1.274849875,-9.68625479,26.31449825,-9.229500124,29.52050173
1.284863875,-7.563657621,31.95791037,-11.22053553,34.70471682
1.294876875,-4.422494781,37.69261858,-14.53319369,40.63872137
1.304889875,-1.265998349,41.70524693,-18.37717899,45.5922261
1.314903875,1.125955049,42.82668208,-21.37652697,47.8784751
1.324916875,1.05723477,41.26970421,-22.02724957,46.79215697
1.334929875,-1.586092914,38.1946535,-20.77283002,43.50698465
1.344943875,-6.591589009,33.72998158,-18.37100199,38.96991682
1.354956875,-13.53188374,28.73189858,-15.22951872,35.22175627
1.364970875,-21.09812934,23.76688744,-12.83619489,34.27482895
1.374983875,-27.19420249,18.17007412,-11.192373,34.5679831
1.384996875,-31.52644199,13.44783352,-10.03507336,35.71363141
1.395010875,-34.38820966,9.285613514,-8.623730922,36.6488788
1.405023875,-35.23269729,3.974186418,-6.950946019,36.1310499
